object_id,class,split,object_path
86,airplane,train,ModelNet40\airplane\train\airplane_0087.off
87,airplane,train,ModelNet40\airplane\train\airplane_0088.off
88,airplane,train,ModelNet40\airplane\train\airplane_0089.off
89,airplane,train,ModelNet40\airplane\train\airplane_0090.off
90,airplane,train,ModelNet40\airplane\train\airplane_0091.off
91,airplane,train,ModelNet40\airplane\train\airplane_0092.off
92,airplane,train,ModelNet40\airplane\train\airplane_0093.off
93,airplane,train,ModelNet40\airplane\train\airplane_0094.off
94,airplane,train,ModelNet40\airplane\train\airplane_0095.off
95,airplane,train,ModelNet40\airplane\train\airplane_0096.off
96,airplane,train,ModelNet40\airplane\train\airplane_0097.off
97,airplane,train,ModelNet40\airplane\train\airplane_0098.off
98,airplane,train,ModelNet40\airplane\train\airplane_0099.off
99,airplane,train,ModelNet40\airplane\train\airplane_0100.off
100,airplane,train,ModelNet40\airplane\train\airplane_0101.off
101,airplane,train,ModelNet40\airplane\train\airplane_0102.off
102,airplane,train,ModelNet40\airplane\train\airplane_0103.off
103,airplane,train,ModelNet40\airplane\train\airplane_0104.off
104,airplane,train,ModelNet40\airplane\train\airplane_0105.off
105,airplane,train,ModelNet40\airplane\train\airplane_0106.off
106,airplane,train,ModelNet40\airplane\train\airplane_0107.off
107,airplane,train,ModelNet40\airplane\train\airplane_0108.off
108,airplane,train,ModelNet40\airplane\train\airplane_0109.off
109,airplane,train,ModelNet40\airplane\train\airplane_0110.off
110,airplane,train,ModelNet40\airplane\train\airplane_0111.off
111,airplane,train,ModelNet40\airplane\train\airplane_0112.off
112,airplane,train,ModelNet40\airplane\train\airplane_0113.off
113,airplane,train,ModelNet40\airplane\train\airplane_0114.off
114,airplane,train,ModelNet40\airplane\train\airplane_0115.off
115,airplane,train,ModelNet40\airplane\train\airplane_0116.off
116,airplane,train,ModelNet40\airplane\train\airplane_0117.off
117,airplane,train,ModelNet40\airplane\train\airplane_0118.off
118,airplane,train,ModelNet40\airplane\train\airplane_0119.off
119,airplane,train,ModelNet40\airplane\train\airplane_0120.off
120,airplane,train,ModelNet40\airplane\train\airplane_0121.off
121,airplane,train,ModelNet40\airplane\train\airplane_0122.off
122,airplane,train,ModelNet40\airplane\train\airplane_0123.off
123,airplane,train,ModelNet40\airplane\train\airplane_0124.off
124,airplane,train,ModelNet40\airplane\train\airplane_0125.off
125,airplane,train,ModelNet40\airplane\train\airplane_0126.off
126,airplane,train,ModelNet40\airplane\train\airplane_0127.off
127,airplane,train,ModelNet40\airplane\train\airplane_0128.off
128,airplane,train,ModelNet40\airplane\train\airplane_0129.off
129,airplane,train,ModelNet40\airplane\train\airplane_0130.off
130,airplane,train,ModelNet40\airplane\train\airplane_0131.off
131,airplane,train,ModelNet40\airplane\train\airplane_0132.off
132,airplane,train,ModelNet40\airplane\train\airplane_0133.off
133,airplane,train,ModelNet40\airplane\train\airplane_0134.off
134,airplane,train,ModelNet40\airplane\train\airplane_0135.off
135,airplane,train,ModelNet40\airplane\train\airplane_0136.off
136,airplane,train,ModelNet40\airplane\train\airplane_0137.off
137,airplane,train,ModelNet40\airplane\train\airplane_0138.off
138,airplane,train,ModelNet40\airplane\train\airplane_0139.off
139,airplane,train,ModelNet40\airplane\train\airplane_0140.off
140,airplane,train,ModelNet40\airplane\train\airplane_0141.off
141,airplane,train,ModelNet40\airplane\train\airplane_0142.off
142,airplane,train,ModelNet40\airplane\train\airplane_0143.off
143,airplane,train,ModelNet40\airplane\train\airplane_0144.off
144,airplane,train,ModelNet40\airplane\train\airplane_0145.off
145,airplane,train,ModelNet40\airplane\train\airplane_0146.off
146,airplane,train,ModelNet40\airplane\train\airplane_0147.off
147,airplane,train,ModelNet40\airplane\train\airplane_0148.off
148,airplane,train,ModelNet40\airplane\train\airplane_0149.off
149,airplane,train,ModelNet40\airplane\train\airplane_0150.off
150,airplane,train,ModelNet40\airplane\train\airplane_0151.off
151,airplane,train,ModelNet40\airplane\train\airplane_0152.off
152,airplane,train,ModelNet40\airplane\train\airplane_0153.off
153,airplane,train,ModelNet40\airplane\train\airplane_0154.off
154,airplane,train,ModelNet40\airplane\train\airplane_0155.off
155,airplane,train,ModelNet40\airplane\train\airplane_0156.off
156,airplane,train,ModelNet40\airplane\train\airplane_0157.off
157,airplane,train,ModelNet40\airplane\train\airplane_0158.off
158,airplane,train,ModelNet40\airplane\train\airplane_0159.off
159,airplane,train,ModelNet40\airplane\train\airplane_0160.off
160,airplane,train,ModelNet40\airplane\train\airplane_0161.off
161,airplane,train,ModelNet40\airplane\train\airplane_0162.off
162,airplane,train,ModelNet40\airplane\train\airplane_0163.off
163,airplane,train,ModelNet40\airplane\train\airplane_0164.off
164,airplane,train,ModelNet40\airplane\train\airplane_0165.off
165,airplane,train,ModelNet40\airplane\train\airplane_0166.off
166,airplane,train,ModelNet40\airplane\train\airplane_0167.off
167,airplane,train,ModelNet40\airplane\train\airplane_0168.off
168,airplane,train,ModelNet40\airplane\train\airplane_0169.off
169,airplane,train,ModelNet40\airplane\train\airplane_0170.off
170,airplane,train,ModelNet40\airplane\train\airplane_0171.off
171,airplane,train,ModelNet40\airplane\train\airplane_0172.off
172,airplane,train,ModelNet40\airplane\train\airplane_0173.off
173,airplane,train,ModelNet40\airplane\train\airplane_0174.off
174,airplane,train,ModelNet40\airplane\train\airplane_0175.off
175,airplane,train,ModelNet40\airplane\train\airplane_0176.off
176,airplane,train,ModelNet40\airplane\train\airplane_0177.off
177,airplane,train,ModelNet40\airplane\train\airplane_0178.off
178,airplane,train,ModelNet40\airplane\train\airplane_0179.off
179,airplane,train,ModelNet40\airplane\train\airplane_0180.off
180,airplane,train,ModelNet40\airplane\train\airplane_0181.off
181,airplane,train,ModelNet40\airplane\train\airplane_0182.off
182,airplane,train,ModelNet40\airplane\train\airplane_0183.off
183,airplane,train,ModelNet40\airplane\train\airplane_0184.off
184,airplane,train,ModelNet40\airplane\train\airplane_0185.off
185,airplane,train,ModelNet40\airplane\train\airplane_0186.off
186,airplane,train,ModelNet40\airplane\train\airplane_0187.off
187,airplane,train,ModelNet40\airplane\train\airplane_0188.off
188,airplane,train,ModelNet40\airplane\train\airplane_0189.off
189,airplane,train,ModelNet40\airplane\train\airplane_0190.off
190,airplane,train,ModelNet40\airplane\train\airplane_0191.off
191,airplane,train,ModelNet40\airplane\train\airplane_0192.off
192,airplane,train,ModelNet40\airplane\train\airplane_0193.off
193,airplane,train,ModelNet40\airplane\train\airplane_0194.off
194,airplane,train,ModelNet40\airplane\train\airplane_0195.off
195,airplane,train,ModelNet40\airplane\train\airplane_0196.off
196,airplane,train,ModelNet40\airplane\train\airplane_0197.off
197,airplane,train,ModelNet40\airplane\train\airplane_0198.off
198,airplane,train,ModelNet40\airplane\train\airplane_0199.off
199,airplane,train,ModelNet40\airplane\train\airplane_0200.off
200,airplane,train,ModelNet40\airplane\train\airplane_0201.off
201,airplane,train,ModelNet40\airplane\train\airplane_0202.off
202,airplane,train,ModelNet40\airplane\train\airplane_0203.off
203,airplane,train,ModelNet40\airplane\train\airplane_0204.off
204,airplane,train,ModelNet40\airplane\train\airplane_0205.off
205,airplane,train,ModelNet40\airplane\train\airplane_0206.off
206,airplane,train,ModelNet40\airplane\train\airplane_0207.off
207,airplane,train,ModelNet40\airplane\train\airplane_0208.off
208,airplane,train,ModelNet40\airplane\train\airplane_0209.off
209,airplane,train,ModelNet40\airplane\train\airplane_0210.off
210,airplane,train,ModelNet40\airplane\train\airplane_0211.off
211,airplane,train,ModelNet40\airplane\train\airplane_0212.off
212,airplane,train,ModelNet40\airplane\train\airplane_0213.off
213,airplane,train,ModelNet40\airplane\train\airplane_0214.off
214,airplane,train,ModelNet40\airplane\train\airplane_0215.off
215,airplane,train,ModelNet40\airplane\train\airplane_0216.off
216,airplane,train,ModelNet40\airplane\train\airplane_0217.off
217,airplane,train,ModelNet40\airplane\train\airplane_0218.off
218,airplane,train,ModelNet40\airplane\train\airplane_0219.off
219,airplane,train,ModelNet40\airplane\train\airplane_0220.off
220,airplane,train,ModelNet40\airplane\train\airplane_0221.off
221,airplane,train,ModelNet40\airplane\train\airplane_0222.off
222,airplane,train,ModelNet40\airplane\train\airplane_0223.off
223,airplane,train,ModelNet40\airplane\train\airplane_0224.off
224,airplane,train,ModelNet40\airplane\train\airplane_0225.off
225,airplane,train,ModelNet40\airplane\train\airplane_0226.off
226,airplane,train,ModelNet40\airplane\train\airplane_0227.off
227,airplane,train,ModelNet40\airplane\train\airplane_0228.off
228,airplane,train,ModelNet40\airplane\train\airplane_0229.off
229,airplane,train,ModelNet40\airplane\train\airplane_0230.off
230,airplane,train,ModelNet40\airplane\train\airplane_0231.off
231,airplane,train,ModelNet40\airplane\train\airplane_0232.off
232,airplane,train,ModelNet40\airplane\train\airplane_0233.off
233,airplane,train,ModelNet40\airplane\train\airplane_0234.off
234,airplane,train,ModelNet40\airplane\train\airplane_0235.off
235,airplane,train,ModelNet40\airplane\train\airplane_0236.off
236,airplane,train,ModelNet40\airplane\train\airplane_0237.off
237,airplane,train,ModelNet40\airplane\train\airplane_0238.off
238,airplane,train,ModelNet40\airplane\train\airplane_0239.off
239,airplane,train,ModelNet40\airplane\train\airplane_0240.off
240,airplane,train,ModelNet40\airplane\train\airplane_0241.off
241,airplane,train,ModelNet40\airplane\train\airplane_0242.off
242,airplane,train,ModelNet40\airplane\train\airplane_0243.off
243,airplane,train,ModelNet40\airplane\train\airplane_0244.off
244,airplane,train,ModelNet40\airplane\train\airplane_0245.off
245,airplane,train,ModelNet40\airplane\train\airplane_0246.off
246,airplane,train,ModelNet40\airplane\train\airplane_0247.off
247,airplane,train,ModelNet40\airplane\train\airplane_0248.off
248,airplane,train,ModelNet40\airplane\train\airplane_0249.off
249,airplane,train,ModelNet40\airplane\train\airplane_0250.off
250,airplane,train,ModelNet40\airplane\train\airplane_0251.off
251,airplane,train,ModelNet40\airplane\train\airplane_0252.off
252,airplane,train,ModelNet40\airplane\train\airplane_0253.off
253,airplane,train,ModelNet40\airplane\train\airplane_0254.off
254,airplane,train,ModelNet40\airplane\train\airplane_0255.off
255,airplane,train,ModelNet40\airplane\train\airplane_0256.off
256,airplane,train,ModelNet40\airplane\train\airplane_0257.off
257,airplane,train,ModelNet40\airplane\train\airplane_0258.off
258,airplane,train,ModelNet40\airplane\train\airplane_0259.off
259,airplane,train,ModelNet40\airplane\train\airplane_0260.off
260,airplane,train,ModelNet40\airplane\train\airplane_0261.off
261,airplane,train,ModelNet40\airplane\train\airplane_0262.off
262,airplane,train,ModelNet40\airplane\train\airplane_0263.off
263,airplane,train,ModelNet40\airplane\train\airplane_0264.off
264,airplane,train,ModelNet40\airplane\train\airplane_0265.off
265,airplane,train,ModelNet40\airplane\train\airplane_0266.off
266,airplane,train,ModelNet40\airplane\train\airplane_0267.off
267,airplane,train,ModelNet40\airplane\train\airplane_0268.off
268,airplane,train,ModelNet40\airplane\train\airplane_0269.off
269,airplane,train,ModelNet40\airplane\train\airplane_0270.off
270,airplane,train,ModelNet40\airplane\train\airplane_0271.off
271,airplane,train,ModelNet40\airplane\train\airplane_0272.off
272,airplane,train,ModelNet40\airplane\train\airplane_0273.off
273,airplane,train,ModelNet40\airplane\train\airplane_0274.off
274,airplane,train,ModelNet40\airplane\train\airplane_0275.off
275,airplane,train,ModelNet40\airplane\train\airplane_0276.off
276,airplane,train,ModelNet40\airplane\train\airplane_0277.off
277,airplane,train,ModelNet40\airplane\train\airplane_0278.off
278,airplane,train,ModelNet40\airplane\train\airplane_0279.off
279,airplane,train,ModelNet40\airplane\train\airplane_0280.off
280,airplane,train,ModelNet40\airplane\train\airplane_0281.off
281,airplane,train,ModelNet40\airplane\train\airplane_0282.off
282,airplane,train,ModelNet40\airplane\train\airplane_0283.off
283,airplane,train,ModelNet40\airplane\train\airplane_0284.off
284,airplane,train,ModelNet40\airplane\train\airplane_0285.off
285,airplane,train,ModelNet40\airplane\train\airplane_0286.off
286,airplane,train,ModelNet40\airplane\train\airplane_0287.off
287,airplane,train,ModelNet40\airplane\train\airplane_0288.off
288,airplane,train,ModelNet40\airplane\train\airplane_0289.off
289,airplane,train,ModelNet40\airplane\train\airplane_0290.off
290,airplane,train,ModelNet40\airplane\train\airplane_0291.off
291,airplane,train,ModelNet40\airplane\train\airplane_0292.off
292,airplane,train,ModelNet40\airplane\train\airplane_0293.off
293,airplane,train,ModelNet40\airplane\train\airplane_0294.off
294,airplane,train,ModelNet40\airplane\train\airplane_0295.off
295,airplane,train,ModelNet40\airplane\train\airplane_0296.off
296,airplane,train,ModelNet40\airplane\train\airplane_0297.off
297,airplane,train,ModelNet40\airplane\train\airplane_0298.off
298,airplane,train,ModelNet40\airplane\train\airplane_0299.off
299,airplane,train,ModelNet40\airplane\train\airplane_0300.off
300,airplane,train,ModelNet40\airplane\train\airplane_0301.off
301,airplane,train,ModelNet40\airplane\train\airplane_0302.off
302,airplane,train,ModelNet40\airplane\train\airplane_0303.off
303,airplane,train,ModelNet40\airplane\train\airplane_0304.off
304,airplane,train,ModelNet40\airplane\train\airplane_0305.off
305,airplane,train,ModelNet40\airplane\train\airplane_0306.off
306,airplane,train,ModelNet40\airplane\train\airplane_0307.off
307,airplane,train,ModelNet40\airplane\train\airplane_0308.off
308,airplane,train,ModelNet40\airplane\train\airplane_0309.off
309,airplane,train,ModelNet40\airplane\train\airplane_0310.off
310,airplane,train,ModelNet40\airplane\train\airplane_0311.off
311,airplane,train,ModelNet40\airplane\train\airplane_0312.off
312,airplane,train,ModelNet40\airplane\train\airplane_0313.off
313,airplane,train,ModelNet40\airplane\train\airplane_0314.off
314,airplane,train,ModelNet40\airplane\train\airplane_0315.off
315,airplane,train,ModelNet40\airplane\train\airplane_0316.off
316,airplane,train,ModelNet40\airplane\train\airplane_0317.off
317,airplane,train,ModelNet40\airplane\train\airplane_0318.off
318,airplane,train,ModelNet40\airplane\train\airplane_0319.off
319,airplane,train,ModelNet40\airplane\train\airplane_0320.off
320,airplane,train,ModelNet40\airplane\train\airplane_0321.off
321,airplane,train,ModelNet40\airplane\train\airplane_0322.off
322,airplane,train,ModelNet40\airplane\train\airplane_0323.off
323,airplane,train,ModelNet40\airplane\train\airplane_0324.off
324,airplane,train,ModelNet40\airplane\train\airplane_0325.off
325,airplane,train,ModelNet40\airplane\train\airplane_0326.off
326,airplane,train,ModelNet40\airplane\train\airplane_0327.off
327,airplane,train,ModelNet40\airplane\train\airplane_0328.off
328,airplane,train,ModelNet40\airplane\train\airplane_0329.off
329,airplane,train,ModelNet40\airplane\train\airplane_0330.off
330,airplane,train,ModelNet40\airplane\train\airplane_0331.off
331,airplane,train,ModelNet40\airplane\train\airplane_0332.off
332,airplane,train,ModelNet40\airplane\train\airplane_0333.off
333,airplane,train,ModelNet40\airplane\train\airplane_0334.off
334,airplane,train,ModelNet40\airplane\train\airplane_0335.off
335,airplane,train,ModelNet40\airplane\train\airplane_0336.off
336,airplane,train,ModelNet40\airplane\train\airplane_0337.off
337,airplane,train,ModelNet40\airplane\train\airplane_0338.off
338,airplane,train,ModelNet40\airplane\train\airplane_0339.off
339,airplane,train,ModelNet40\airplane\train\airplane_0340.off
340,airplane,train,ModelNet40\airplane\train\airplane_0341.off
341,airplane,train,ModelNet40\airplane\train\airplane_0342.off
342,airplane,train,ModelNet40\airplane\train\airplane_0343.off
343,airplane,train,ModelNet40\airplane\train\airplane_0344.off
344,airplane,train,ModelNet40\airplane\train\airplane_0345.off
345,airplane,train,ModelNet40\airplane\train\airplane_0346.off
346,airplane,train,ModelNet40\airplane\train\airplane_0347.off
347,airplane,train,ModelNet40\airplane\train\airplane_0348.off
348,airplane,train,ModelNet40\airplane\train\airplane_0349.off
349,airplane,train,ModelNet40\airplane\train\airplane_0350.off
350,airplane,train,ModelNet40\airplane\train\airplane_0351.off
351,airplane,train,ModelNet40\airplane\train\airplane_0352.off
352,airplane,train,ModelNet40\airplane\train\airplane_0353.off
353,airplane,train,ModelNet40\airplane\train\airplane_0354.off
354,airplane,train,ModelNet40\airplane\train\airplane_0355.off
355,airplane,train,ModelNet40\airplane\train\airplane_0356.off
356,airplane,train,ModelNet40\airplane\train\airplane_0357.off
357,airplane,train,ModelNet40\airplane\train\airplane_0358.off
358,airplane,train,ModelNet40\airplane\train\airplane_0359.off
359,airplane,train,ModelNet40\airplane\train\airplane_0360.off
360,airplane,train,ModelNet40\airplane\train\airplane_0361.off
361,airplane,train,ModelNet40\airplane\train\airplane_0362.off
362,airplane,train,ModelNet40\airplane\train\airplane_0363.off
363,airplane,train,ModelNet40\airplane\train\airplane_0364.off
364,airplane,train,ModelNet40\airplane\train\airplane_0365.off
365,airplane,train,ModelNet40\airplane\train\airplane_0366.off
366,airplane,train,ModelNet40\airplane\train\airplane_0367.off
367,airplane,train,ModelNet40\airplane\train\airplane_0368.off
368,airplane,train,ModelNet40\airplane\train\airplane_0369.off
369,airplane,train,ModelNet40\airplane\train\airplane_0370.off
370,airplane,train,ModelNet40\airplane\train\airplane_0371.off
371,airplane,train,ModelNet40\airplane\train\airplane_0372.off
372,airplane,train,ModelNet40\airplane\train\airplane_0373.off
373,airplane,train,ModelNet40\airplane\train\airplane_0374.off
374,airplane,train,ModelNet40\airplane\train\airplane_0375.off
375,airplane,train,ModelNet40\airplane\train\airplane_0376.off
376,airplane,train,ModelNet40\airplane\train\airplane_0377.off
377,airplane,train,ModelNet40\airplane\train\airplane_0378.off
378,airplane,train,ModelNet40\airplane\train\airplane_0379.off
379,airplane,train,ModelNet40\airplane\train\airplane_0380.off
380,airplane,train,ModelNet40\airplane\train\airplane_0381.off
381,airplane,train,ModelNet40\airplane\train\airplane_0382.off
382,airplane,train,ModelNet40\airplane\train\airplane_0383.off
383,airplane,train,ModelNet40\airplane\train\airplane_0384.off
384,airplane,train,ModelNet40\airplane\train\airplane_0385.off
385,airplane,train,ModelNet40\airplane\train\airplane_0386.off
386,airplane,train,ModelNet40\airplane\train\airplane_0387.off
387,airplane,train,ModelNet40\airplane\train\airplane_0388.off
388,airplane,train,ModelNet40\airplane\train\airplane_0389.off
389,airplane,train,ModelNet40\airplane\train\airplane_0390.off
390,airplane,train,ModelNet40\airplane\train\airplane_0391.off
391,airplane,train,ModelNet40\airplane\train\airplane_0392.off
392,airplane,train,ModelNet40\airplane\train\airplane_0393.off
393,airplane,train,ModelNet40\airplane\train\airplane_0394.off
394,airplane,train,ModelNet40\airplane\train\airplane_0395.off
395,airplane,train,ModelNet40\airplane\train\airplane_0396.off
396,airplane,train,ModelNet40\airplane\train\airplane_0397.off
397,airplane,train,ModelNet40\airplane\train\airplane_0398.off
398,airplane,train,ModelNet40\airplane\train\airplane_0399.off
399,airplane,train,ModelNet40\airplane\train\airplane_0400.off
400,airplane,train,ModelNet40\airplane\train\airplane_0401.off
401,airplane,train,ModelNet40\airplane\train\airplane_0402.off
402,airplane,train,ModelNet40\airplane\train\airplane_0403.off
403,airplane,train,ModelNet40\airplane\train\airplane_0404.off
404,airplane,train,ModelNet40\airplane\train\airplane_0405.off
405,airplane,train,ModelNet40\airplane\train\airplane_0406.off
406,airplane,train,ModelNet40\airplane\train\airplane_0407.off
407,airplane,train,ModelNet40\airplane\train\airplane_0408.off
408,airplane,train,ModelNet40\airplane\train\airplane_0409.off
409,airplane,train,ModelNet40\airplane\train\airplane_0410.off
410,airplane,train,ModelNet40\airplane\train\airplane_0411.off
411,airplane,train,ModelNet40\airplane\train\airplane_0412.off
412,airplane,train,ModelNet40\airplane\train\airplane_0413.off
413,airplane,train,ModelNet40\airplane\train\airplane_0414.off
414,airplane,train,ModelNet40\airplane\train\airplane_0415.off
415,airplane,train,ModelNet40\airplane\train\airplane_0416.off
416,airplane,train,ModelNet40\airplane\train\airplane_0417.off
417,airplane,train,ModelNet40\airplane\train\airplane_0418.off
418,airplane,train,ModelNet40\airplane\train\airplane_0419.off
419,airplane,train,ModelNet40\airplane\train\airplane_0420.off
420,airplane,train,ModelNet40\airplane\train\airplane_0421.off
421,airplane,train,ModelNet40\airplane\train\airplane_0422.off
422,airplane,train,ModelNet40\airplane\train\airplane_0423.off
423,airplane,train,ModelNet40\airplane\train\airplane_0424.off
424,airplane,train,ModelNet40\airplane\train\airplane_0425.off
425,airplane,train,ModelNet40\airplane\train\airplane_0426.off
426,airplane,train,ModelNet40\airplane\train\airplane_0427.off
427,airplane,train,ModelNet40\airplane\train\airplane_0428.off
428,airplane,train,ModelNet40\airplane\train\airplane_0429.off
429,airplane,train,ModelNet40\airplane\train\airplane_0430.off
430,airplane,train,ModelNet40\airplane\train\airplane_0431.off
431,airplane,train,ModelNet40\airplane\train\airplane_0432.off
432,airplane,train,ModelNet40\airplane\train\airplane_0433.off
433,airplane,train,ModelNet40\airplane\train\airplane_0434.off
434,airplane,train,ModelNet40\airplane\train\airplane_0435.off
435,airplane,train,ModelNet40\airplane\train\airplane_0436.off
436,airplane,train,ModelNet40\airplane\train\airplane_0437.off
437,airplane,train,ModelNet40\airplane\train\airplane_0438.off
438,airplane,train,ModelNet40\airplane\train\airplane_0439.off
439,airplane,train,ModelNet40\airplane\train\airplane_0440.off
440,airplane,train,ModelNet40\airplane\train\airplane_0441.off
441,airplane,train,ModelNet40\airplane\train\airplane_0442.off
442,airplane,train,ModelNet40\airplane\train\airplane_0443.off
443,airplane,train,ModelNet40\airplane\train\airplane_0444.off
444,airplane,train,ModelNet40\airplane\train\airplane_0445.off
445,airplane,train,ModelNet40\airplane\train\airplane_0446.off
446,airplane,train,ModelNet40\airplane\train\airplane_0447.off
447,airplane,train,ModelNet40\airplane\train\airplane_0448.off
448,airplane,train,ModelNet40\airplane\train\airplane_0449.off
449,airplane,train,ModelNet40\airplane\train\airplane_0450.off
450,airplane,train,ModelNet40\airplane\train\airplane_0451.off
451,airplane,train,ModelNet40\airplane\train\airplane_0452.off
452,airplane,train,ModelNet40\airplane\train\airplane_0453.off
453,airplane,train,ModelNet40\airplane\train\airplane_0454.off
454,airplane,train,ModelNet40\airplane\train\airplane_0455.off
455,airplane,train,ModelNet40\airplane\train\airplane_0456.off
456,airplane,train,ModelNet40\airplane\train\airplane_0457.off
457,airplane,train,ModelNet40\airplane\train\airplane_0458.off
458,airplane,train,ModelNet40\airplane\train\airplane_0459.off
459,airplane,train,ModelNet40\airplane\train\airplane_0460.off
460,airplane,train,ModelNet40\airplane\train\airplane_0461.off
461,airplane,train,ModelNet40\airplane\train\airplane_0462.off
462,airplane,train,ModelNet40\airplane\train\airplane_0463.off
463,airplane,train,ModelNet40\airplane\train\airplane_0464.off
464,airplane,train,ModelNet40\airplane\train\airplane_0465.off
